Domaine,Metier,Competence,Type_Competence,Indicateurs_Observables,Modalites_Evaluation,Preuves_Attendues,Situations_Professionnelles_Type,Outils_SI_ou_Materiels,Reglementation_ou_Normes,Formation_ou_Activites_Pedago,Mots_Cles
1. CONDUIRE,Conducteur Routier (PL/SPL),Appliquer les principes de conduite rationnelle pour réduire consommation et risques,Technique,"Anticipation, vitesse adaptée, freinage limité, baisse conso mesurable",Mise en situation (simulateur/terrain) + grille observation,Grille observation signée + relevés conso/télématique,Trajet avec contraintes délai + conso,"Télématique, ordinateur de bord",Sécurité routière,TP simulateur + analyse données,"eco-conduite, sécurité, consommation"
1. CONDUIRE,Conducteur Routier (PL/SPL),Réaliser des contrôles de base et identifier des anomalies mécaniques simples,Technique,"Check pneus/niveaux/fuites, signalement cohérent, arrêt si danger",QCM + étude de cas panne + oral,Check-list contrôle + fiche anomalie,Prise de poste et contrôle départ,"Véhicule, check-list",Procédures entreprise,TP contrôle départ,"maintenance 1er niveau, sécurité"
1. CONDUIRE,Conducteur Routier (PL/SPL),Sécuriser le chargement par un arrimage adapté au type de marchandise,Technique,"Sangles/points d’ancrage adaptés, calage, contrôle tension",Mise en situation atelier + audit,Check-list arrimage + photos,Chargement palettes hétérogènes,"Sangles, barres, tapis",Bonnes pratiques arrimage,TP arrimage + RETEX,"arrimage, chargement"
1. CONDUIRE,Conducteur Routier (PL/SPL),Compléter correctement les documents de transport (CMR/e-CMR) et traçabilité,Organisationnelle,"Champs complets, cohérence dates/poids/ADR, traçabilité",Étude de cas + exercice e-CMR,CMR/e-CMR complétée + correction,Enlèvement/livraison multi-clients,"Appli e-CMR, scanner",Convention CMR,TD documentation transport,"CMR, eCMR, traçabilité"
1. CONDUIRE,Conducteur Routier (PL/SPL),Gérer les temps de conduite et repos en conformité RSE,Organisationnelle,"Planning sans infraction, justification aléas, usage tachy correct",Étude de cas + QCM réglementaire,Planning + score QCM + relevé tachy simulé,Tournée longue distance,Chronotachygraphe,RSE,TD réglementation + simulation tournée,"RSE, tachy, conformité"
1. CONDUIRE,Conducteur Routier (PL/SPL),"Respecter un itinéraire et adapter la conduite aux contraintes (gabarit, météo, trafic)",Organisationnelle,"Choix itinéraire justifié, évitement zones interdites, sécurité",Étude de cas + simulation carto,Itinéraire commenté + justification,Livraison zone urbaine/chantier,"GPS pro, carto",Code route + règles locales,Cas pratiques itinéraires,"itinéraire, gabarit, risque"
1. CONDUIRE,Conducteur Routier (PL/SPL),Adopter une communication professionnelle avec clients/quai/exploitation,Comportementale,"Infos factuelles, ton adapté, gestion conflit, traçabilité échanges",Jeu de rôle + observation,Compte-rendu appel + grille soft skills,Retard livraison et client mécontent,"Téléphone, messagerie",Charte relation client,Jeux de rôle + débrief,"relation client, communication"
1. CONDUIRE,Conducteur Routier (PL/SPL),Maintenir vigilance et maîtrise de soi en situation de stress routier,Comportementale,"Réactions mesurées, pauses, pas de prise de risque, lucidité",Entretien structuré + étude de cas,Auto-analyse + plan prévention,Incident route + pression délai,â,Prévention risques routiers,Atelier facteurs humains,"stress, vigilance, sécurité"
1. CONDUIRE,Conducteur Routier (PL/SPL),Assurer la capacité à conduire sur longue durée en gérant fatigue et sédentarité,Physique,"Gestion pauses/étirements, hydratation, prévention TMS",Auto-évaluation guidée + consignes,Plan prévention personnel,Semaine type longue distance,â,Prévention TMS,Module prévention TMS,"fatigue, TMS, sédentarité"
1. CONDUIRE,Conducteur Livreur (VUL),Réaliser une conduite urbaine sûre et fluide en respectant contraintes de livraison,Technique,"Zéro incident, respect zones, manœuvres maîtrisées",Mise en situation + observation,Grille observation,Tournée urbaine dense,VUL,Code route,TP conduite urbaine,"urbain, sécurité, manœuvres"
1. CONDUIRE,Conducteur Livreur (VUL),Utiliser un PDA/scanner pour assurer preuve de livraison et traçabilité,Technique,"Scans corrects, statuts Ã  jour, gestion anomalies",Exercice outil + cas incident,Logs/exports + captures écran,Livraison avec colis manquants/abîmés,"PDA, scanner",Procédures traçabilité,TP SI logistique,"PDA, scan, POD"
1. CONDUIRE,Conducteur Livreur (VUL),Encaisser et gérer les flux de paiement en respectant procédures,Technique,"Encaissements justes, remise conforme, pas d’écart caisse",Mise en situation + QCM procédure,Bordereau remise + contrôle,Livraison contre remboursement,"TPE, appli encaissement",Procédure interne,Cas pratiques encaissement,"encaissement, contrôle"
1. CONDUIRE,Conducteur Livreur (VUL),Charger le véhicule en sécurisant colis et en optimisant l’accessibilité,Technique,"Colis lourds au fond, fragiles protégés, plan de chargement cohérent",Atelier + audit,Photos chargement + check-list,Préparation tournée 60 stops,"Chariot, sangles",Sécurité manutention,TP chargement,"chargement, ergonomie"
1. CONDUIRE,Conducteur Livreur (VUL),"Optimiser une tournée (ordre de livraison, fenêtres horaires, priorités)",Organisationnelle,"Ordre logique, respect créneaux, adaptation aléas",Étude de cas + optimisation sur carte,Plan tournée + KPI (km/temps/retards),Tournée avec retours et urgences,"Outil tournée, carto",Contraintes SLA,TD optimisation tournée,"routing, SLA, priorités"
1. CONDUIRE,Conducteur Livreur (VUL),"Gérer la relation de service client (accueil, explication, réclamation)",Comportementale,"Posture pro, écoute, solution/escale, escalade si besoin",Jeu de rôle + grille,Grille soft skills + compte-rendu,Client refuse colis,â,Charte service,Jeu de rôle,"service client, réclamation"
1. CONDUIRE,Conducteur Livreur (VUL),"Soutenir l’effort physique répété (montées/descentes, port de colis) en sécurité",Physique,"Gestes sûrs, usage aides, pas de mise en danger",Observation + module prévention,Check-list gestes/risques,Tournée immeubles sans ascenseur,"Diable, EPI",Prévention TMS,TP gestes & postures,"port de charges, TMS"
1. CONDUIRE,Ambulancier,Réaliser les gestes et procédures de premiers secours selon AFGSU,Technique,"Gestes corrects, priorisation, hygiène, transmission",Simulation haute fidélité + QCM,Fiche simulation + score QCM,Prise en charge détresse,Matériel médical,AFGSU,TP simulation,"urgence, AFGSU"
1. CONDUIRE,Ambulancier,Conduire de manière souple et sécurisée en situation d’urgence,Technique,"Trajectoires sûres, usage avertisseurs conforme, confort patient",Simulation conduite + observation,Grille observation,Transport urgent,Ambulance,Code route + règles urgence,TP conduite,"urgence, sécurité, confort"
1. CONDUIRE,Ambulancier,Préparer et vérifier le matériel médical avant mission,Organisationnelle,"Check complet, matériel fonctionnel, stocks à jour",Atelier + audit,Check-list + inventaire,Départ intervention,Kit médical,Procédures hygiène,TP préparation,"préparation, hygiène"
1. CONDUIRE,Ambulancier,Transmettre des informations pertinentes au SAMU (C15) et à l’équipe,Organisationnelle,"Transmission structurée, éléments vitaux, traçabilité",Jeu de rôle + grille,Compte-rendu structuré,Appel C15,Radio/téléphone,Protocoles SAMU,Simulations,"transmission, C15"
1. CONDUIRE,Ambulancier,"Adopter empathie, discrétion et sang-froid avec patients et familles",Comportementale,"Posture calme, respect confidentialité, gestion émotion",Jeu de rôle + entretien,Grille soft skills,Annonce situation grave,â,Secret professionnel,Jeux de rôle + débrief,"empathie, discrétion"
1. CONDUIRE,Ambulancier,Assurer la manutention de patients (brancardage) en sécurité,Physique,"Gestes sûrs, coordination binôme, usage matériel",Mise en situation,Grille observation,Montée escaliers,"Brancard, chaise",Prévention TMS,TP brancardage,"brancardage, TMS"
1. CONDUIRE,Convoyeur de fonds / Dabiste,Appliquer les techniques de conduite sécurisée en véhicule blindé,Technique,"Trajets sécurisés, vigilance, procédures respectées",Simulation + étude de cas,Grille procédure,Tournée approvisionnement,Véhicule blindé,Procédures sûreté,Cas sûreté,"convoyage, sûreté"
1. CONDUIRE,Convoyeur de fonds / Dabiste,Mettre en œuvre les règles de sécurité et d’usage des équipements (dont armement si applicable),Technique,"Gestes conformes, respect consignes, aucun écart",QCM + mise en situation encadrée,Attestation + score QCM,Intervention DAB,Équipements sûreté,Règles sûreté,Module sûreté,"procédure, sûreté"
1. CONDUIRE,Convoyeur de fonds / Dabiste,Réaliser une maintenance de premier niveau sur DAB (diagnostic simple),Technique,"Diagnostic basique, actions autorisées, escalade claire",Étude de cas + TP,Fiche intervention,DAB en défaut,Outils de maintenance,Procédures maintenance,TP maintenance,"DAB, maintenance"
1. CONDUIRE,Convoyeur de fonds / Dabiste,Respecter strictement les procédures et gérer l’approvisionnement sans rupture,Organisationnelle,"Zéro écart procédure, traçabilité, planification",Étude de cas,Feuille de tournée + traçabilité,Tournée multi-sites,Logiciel tournée,Procédures internes,TD,"traçabilité, procédure"
1. CONDUIRE,Convoyeur de fonds / Dabiste,"Faire preuve d’intégrité, discrétion et vigilance en permanence",Comportementale,"Pas de divulgation, attitude conforme, alertes pertinentes",Entretien + mises en situation,Grille éthique,Pression externe,â,Déontologie,Cas éthiques,"intégrité, discrétion"
1. CONDUIRE,Convoyeur de fonds / Dabiste,"Soutenir lâeffort et le stress (port, posture, charge mentale)",Physique,"Stabilité émotionnelle, gestes sûrs, endurance",Observation + entretien,Plan prévention,Tournée longue + incidents,EPI,Prévention risques,Atelier facteurs humains,"stress, endurance"
1. CONDUIRE,Batelier - Marinier,Piloter un bateau fluvial en conditions standard en intégrant règles de navigation,Technique,"Tenue de route, manÅuvres, respect signaux",Simulation/étude de cas,Journal de navigation simulé,Passage écluse,Bateau/Simu,Règlement navigation,TP,navigation fluviale
1. CONDUIRE,Batelier - Marinier,Diagnostiquer des pannes simples et réaliser des actions de mécanique navale de base,Technique,"Détection anomalies, actions autorisées, sécurité",Étude de cas + TP,Fiche maintenance,Panne pompe,"Outils, moteur",Procédures maintenance,TP,maintenance navale
1. CONDUIRE,Batelier - Marinier,"Planifier un trajet fluvial (temps, écluses, contraintes) et la vie à bord",Organisationnelle,"Plan réaliste, marges, organisation quart",Étude de cas,Plan de voyage,Trajet multi-écluses,"Cartes, planning",Règles navigation,TD,"planification, autonomie"
1. CONDUIRE,Batelier - Marinier,Travailler en autonomie avec calme et gestion dâespace restreint,Comportementale,"Décisions posées, organisation, communication",Entretien + observation,Journal de bord,Mission longue,â,Prévention risques,Atelier,"autonomie, calme"
