competence_id,libelle,metier_id,type_competence_id,indicateurs_observables,modalite_evaluation_id,preuves_attendues,situations_professionnelles_type,formation_activite_id
1,Appliquer les principes de conduite rationnelle pour réduire consommation et risques,1,1,"Anticipation, vitesse adaptée, freinage limité, baisse conso mesurable",1,Grille observation signée + relevés conso/télématique,Trajet avec contraintes délai + conso,1
2,Réaliser des contrôles de base et identifier des anomalies mécaniques simples,1,1,"Check pneus/niveaux/fuites, signalement cohérent, arrêt si danger",2,Check-list contrôle + fiche anomalie,Prise de poste et contrôle départ,2
3,Sécuriser le chargement par un arrimage adapté au type de marchandise,1,1,"Sangles/points d’ancrage adaptés, calage, contrôle tension",3,Check-list arrimage + photos,Chargement palettes hétérogènes,3
4,Compléter correctement les documents de transport (CMR/e-CMR) et traçabilité,1,2,"Champs complets, cohérence dates/poids/ADR, traçabilité",4,CMR/e-CMR complétée + correction,Enlèvement/livraison multi-clients,4
5,Gérer les temps de conduite et repos en conformité RSE,1,2,"Planning sans infraction, justification aléas, usage tachy correct",5,Planning + score QCM + relevé tachy simulé,Tournée longue distance,5
6,"Respecter un itinéraire et adapter la conduite aux contraintes (gabarit, météo, trafic)",1,2,"Choix itinéraire justifié, évitement zones interdites, sécurité",6,Itinéraire commenté + justification,Livraison zone urbaine/chantier,6
7,Adopter une communication professionnelle avec clients/quai/exploitation,1,3,"Infos factuelles, ton adapté, gestion conflit, traçabilité échanges",7,Compte-rendu appel + grille soft skills,Retard livraison et client mécontent,7
8,Maintenir vigilance et maîtrise de soi en situation de stress routier,1,3,"Réactions mesurées, pauses, pas de prise de risque, lucidité",8,Auto-analyse + plan prévention,Incident route + pression délai,8
9,Assurer la capacité à conduire sur longue durée en gérant fatigue et sédentarité,1,4,"Gestion pauses/étirements, hydratation, prévention TMS",9,Plan prévention personnel,Semaine type longue distance,9
10,Réaliser une conduite urbaine sûre et fluide en respectant contraintes de livraison,2,1,"Zéro incident, respect zones, manœuvres maîtrisées",10,Grille observation,Tournée urbaine dense,10
11,Utiliser un PDA/scanner pour assurer preuve de livraison et traçabilité,2,1,"Scans corrects, statuts Ã  jour, gestion anomalies",11,Logs/exports + captures écran,Livraison avec colis manquants/abîmés,11
12,Encaisser et gérer les flux de paiement en respectant procédures,2,1,"Encaissements justes, remise conforme, pas d’écart caisse",12,Bordereau remise + contrôle,Livraison contre remboursement,12
13,Charger le véhicule en sécurisant colis et en optimisant l’accessibilité,2,1,"Colis lourds au fond, fragiles protégés, plan de chargement cohérent",13,Photos chargement + check-list,Préparation tournée 60 stops,13
14,"Optimiser une tournée (ordre de livraison, fenêtres horaires, priorités)",2,2,"Ordre logique, respect créneaux, adaptation aléas",14,Plan tournée + KPI (km/temps/retards),Tournée avec retours et urgences,14
15,"Gérer la relation de service client (accueil, explication, réclamation)",2,3,"Posture pro, écoute, solution/escale, escalade si besoin",15,Grille soft skills + compte-rendu,Client refuse colis,15
16,"Soutenir l’effort physique répété (montées/descentes, port de colis) en sécurité",2,4,"Gestes sûrs, usage aides, pas de mise en danger",16,Check-list gestes/risques,Tournée immeubles sans ascenseur,16
17,Réaliser les gestes et procédures de premiers secours selon AFGSU,3,1,"Gestes corrects, priorisation, hygiène, transmission",17,Fiche simulation + score QCM,Prise en charge détresse,17
18,Conduire de manière souple et sécurisée en situation d’urgence,3,1,"Trajectoires sûres, usage avertisseurs conforme, confort patient",18,Grille observation,Transport urgent,18
19,Préparer et vérifier le matériel médical avant mission,3,2,"Check complet, matériel fonctionnel, stocks à jour",13,Check-list + inventaire,Départ intervention,19
20,Transmettre des informations pertinentes au SAMU (C15) et à l’équipe,3,2,"Transmission structurée, éléments vitaux, traçabilité",15,Compte-rendu structuré,Appel C15,20
